epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,94.9789,0.84354,1.93243,1.32199,0.77845,0.39241,0.42033,0.28171,1.82549,2.44982,1.65152,2.82082e-05,2.82082e-05,2.82082e-05
40,97.2959,0.97651,1.25833,1.44284,0.77845,0.39241,0.42033,0.28171,1.82549,2.44982,1.65152,2.84911e-05,2.84911e-05,2.84911e-05
41,99.7748,0.7264,1.24435,1.10969,0.78122,0.38979,0.42001,0.2901,1.82235,2.44738,1.62637,2.87504e-05,2.87504e-05,2.87504e-05
42,102.133,0.93142,1.26813,1.34646,0.78122,0.38979,0.42001,0.2901,1.82235,2.44738,1.62637,2.89861e-05,2.89861e-05,2.89861e-05
43,104.658,0.54423,2.46912,1.13129,0.94771,0.39158,0.41632,0.28943,1.76484,2.42023,1.57162,2.91983e-05,2.91983e-05,2.91983e-05
44,107.049,0.84829,1.14585,1.25402,0.94771,0.39158,0.41632,0.28943,1.76484,2.42023,1.57162,2.93869e-05,2.93869e-05,2.93869e-05
45,109.45,0.61025,1.15748,1.11267,0.94939,0.39064,0.41625,0.2899,1.73286,2.39817,1.52266,2.9552e-05,2.9552e-05,2.9552e-05
46,111.784,0.80996,1.15065,1.28498,0.94939,0.39064,0.41625,0.2899,1.73286,2.39817,1.52266,2.96935e-05,2.96935e-05,2.96935e-05
47,114.356,0.7293,0.90614,1.13428,0.95286,0.38874,0.41667,0.28983,1.75265,2.47233,1.55987,2.98114e-05,2.98114e-05,2.98114e-05
48,116.848,0.66996,0.9622,1.10411,0.95286,0.38874,0.41667,0.28983,1.75265,2.47233,1.55987,2.99058e-05,2.99058e-05,2.99058e-05
49,119.196,0.8937,0.90596,1.2075,0.94787,0.38153,0.41774,0.32205,1.78277,2.49326,1.59868,2.99766e-05,2.99766e-05,2.99766e-05
50,121.684,0.82805,0.8526,1.1869,0.94787,0.38153,0.41774,0.32205,1.78277,2.49326,1.59868,3.00238e-05,3.00238e-05,3.00238e-05
51,124.924,0.75247,0.86348,1.17364,0.95151,0.38866,0.4233,0.3262,1.72045,2.33619,1.47359,3.00475e-05,3.00475e-05,3.00475e-05
52,127.777,0.77088,1.1099,1.14495,0.95151,0.38866,0.4233,0.3262,1.72045,2.33619,1.47359,3.00476e-05,3.00476e-05,3.00476e-05
53,130.576,0.6267,0.8786,1.13494,0.95151,0.38866,0.4233,0.3262,1.72045,2.33619,1.47359,3.00242e-05,3.00242e-05,3.00242e-05
54,133.391,0.83144,1.35928,1.24945,0.94836,0.3886,0.42379,0.31011,1.71441,2.30283,1.45849,2.99772e-05,2.99772e-05,2.99772e-05
55,136.121,0.79366,0.79696,1.11347,0.94836,0.3886,0.42379,0.31011,1.71441,2.30283,1.45849,2.99066e-05,2.99066e-05,2.99066e-05
56,138.65,0.74614,1.15389,1.11636,0.94836,0.3886,0.42379,0.31011,1.71441,2.30283,1.45849,2.98125e-05,2.98125e-05,2.98125e-05
57,141.222,0.6227,0.79963,1.06882,0.94911,0.38778,0.42365,0.30993,1.73738,2.41426,1.49513,2.96948e-05,2.96948e-05,2.96948e-05
58,143.771,0.70946,0.73899,1.16628,0.94911,0.38778,0.42365,0.30993,1.73738,2.41426,1.49513,2.95535e-05,2.95535e-05,2.95535e-05
59,146.381,0.82987,0.91895,1.21865,0.94911,0.38778,0.42365,0.30993,1.73738,2.41426,1.49513,2.93887e-05,2.93887e-05,2.93887e-05
60,149.004,0.94455,1.38404,1.35437,0.96282,0.38033,0.42153,0.30838,1.74336,2.44048,1.49834,2.92003e-05,2.92003e-05,2.92003e-05
61,151.593,0.58379,0.80133,1.05553,0.96282,0.38033,0.42153,0.30838,1.74336,2.44048,1.49834,2.89884e-05,2.89884e-05,2.89884e-05
62,154.14,0.57402,0.66495,1.05988,0.96282,0.38033,0.42153,0.30838,1.74336,2.44048,1.49834,2.87529e-05,2.87529e-05,2.87529e-05
63,156.772,1.14117,1.43347,1.57275,0.96882,0.38333,0.42313,0.30084,1.71274,2.3865,1.46006,2.84938e-05,2.84938e-05,2.84938e-05
64,159.301,0.68473,0.91682,1.09321,0.96882,0.38333,0.42313,0.30084,1.71274,2.3865,1.46006,2.82112e-05,2.82112e-05,2.82112e-05
65,162,0.80852,0.8798,1.13454,0.96882,0.38333,0.42313,0.30084,1.71274,2.3865,1.46006,2.7905e-05,2.7905e-05,2.7905e-05
66,164.567,0.60286,0.67685,1.14244,0.97174,0.38013,0.42675,0.30059,1.72096,2.36168,1.44353,2.75753e-05,2.75753e-05,2.75753e-05
67,167.158,0.64286,0.62248,1.02839,0.97174,0.38013,0.42675,0.30059,1.72096,2.36168,1.44353,2.7222e-05,2.7222e-05,2.7222e-05
68,169.823,0.80756,1.02361,1.22657,0.97174,0.38013,0.42675,0.30059,1.72096,2.36168,1.44353,2.68451e-05,2.68451e-05,2.68451e-05
69,172.423,0.64979,0.81674,1.08857,0.95787,0.38333,0.42629,0.30026,1.71993,2.39328,1.43824,2.64447e-05,2.64447e-05,2.64447e-05
70,175.26,1.05958,1.63766,1.34104,0.95787,0.38333,0.42629,0.30026,1.71993,2.39328,1.43824,2.60207e-05,2.60207e-05,2.60207e-05
71,178.239,0.55637,0.59788,0.99792,0.95787,0.38333,0.42629,0.30026,1.71993,2.39328,1.43824,2.55731e-05,2.55731e-05,2.55731e-05
72,180.932,0.65148,0.57908,0.98452,0.9362,0.4,0.42734,0.30159,1.70134,2.39007,1.42261,2.5102e-05,2.5102e-05,2.5102e-05
73,183.437,0.63841,0.91939,1.10146,0.9362,0.4,0.42734,0.30159,1.70134,2.39007,1.42261,2.46073e-05,2.46073e-05,2.46073e-05
74,185.962,0.70553,0.84844,1.14279,0.9362,0.4,0.42734,0.30159,1.70134,2.39007,1.42261,2.40891e-05,2.40891e-05,2.40891e-05
75,188.876,0.7982,0.77205,1.28871,0.8832,0.4,0.42932,0.30147,1.73344,2.38613,1.43213,2.35472e-05,2.35472e-05,2.35472e-05
76,191.752,0.62165,0.6933,1.07378,0.8832,0.4,0.42932,0.30147,1.73344,2.38613,1.43213,2.29819e-05,2.29819e-05,2.29819e-05
