epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7200.74,0.69291,0.75843,1.12854,0.88773,0.78371,0.86777,0.6593,0.91674,1.01682,1.31128,0.000540037,0.000540037,0.000540037
43,7365.95,0.68577,0.75252,1.11174,0.81996,0.9094,0.90671,0.69114,0.9358,0.84665,1.31495,0.000531038,0.000531038,0.000531038
44,7532.8,0.68139,0.7474,1.13147,0.88131,0.80406,0.88842,0.66509,0.96134,0.94019,1.33818,0.000522039,0.000522039,0.000522039
45,7701.21,0.67995,0.72828,1.1014,0.90161,0.84209,0.89112,0.66176,0.93874,0.92528,1.30948,0.00051304,0.00051304,0.00051304
46,7869.3,0.66428,0.7106,1.10292,0.87946,0.78161,0.86975,0.68467,0.85367,0.8983,1.23744,0.00050404,0.00050404,0.00050404
47,8037.53,0.67443,0.70734,1.11551,0.8832,0.7643,0.85841,0.68085,0.81249,0.92769,1.23625,0.000495041,0.000495041,0.000495041
48,8202.77,0.65266,0.69189,1.10178,0.87207,0.81646,0.88198,0.67043,0.8971,0.87157,1.28128,0.000486042,0.000486042,0.000486042
49,8368.49,0.67501,0.72633,1.10976,0.89577,0.81039,0.87972,0.6884,0.8873,0.87743,1.306,0.000477043,0.000477043,0.000477043
50,8535.36,0.65924,0.69177,1.10538,0.83774,0.79984,0.8596,0.66799,0.89988,0.9353,1.30439,0.000468044,0.000468044,0.000468044
51,8722.89,0.62896,0.69956,1.09154,0.83147,0.77631,0.87117,0.67064,0.85801,0.89858,1.25082,0.000459045,0.000459045,0.000459045
52,8895.46,0.62136,0.67189,1.09043,0.9009,0.79371,0.87758,0.66048,0.90759,0.8917,1.32411,0.000450046,0.000450046,0.000450046
53,9069.23,0.63075,0.64354,1.09614,0.82359,0.82644,0.87059,0.65239,0.89464,0.89248,1.31279,0.000441047,0.000441047,0.000441047
54,9235,0.62731,0.64658,1.09052,0.86255,0.78412,0.86898,0.66689,0.91162,0.87934,1.30848,0.000432048,0.000432048,0.000432048
55,9400.87,0.62733,0.6542,1.0936,0.89326,0.74685,0.85638,0.66214,0.86705,0.86947,1.2567,0.000423049,0.000423049,0.000423049
56,9573.52,0.59767,0.61975,1.05796,0.86551,0.80453,0.88857,0.68362,0.88607,0.85466,1.29757,0.000414049,0.000414049,0.000414049
57,9741.37,0.6075,0.61655,1.07729,0.83483,0.81763,0.86711,0.65108,0.93219,0.87988,1.34731,0.00040505,0.00040505,0.00040505
58,9913.47,0.598,0.61434,1.05957,0.93177,0.78853,0.88765,0.68039,0.87738,0.85028,1.27886,0.000396051,0.000396051,0.000396051
59,10083.9,0.62462,0.62557,1.06757,0.90985,0.76883,0.89183,0.69667,0.81372,0.79972,1.20697,0.000387052,0.000387052,0.000387052
60,10259,0.58306,0.61526,1.05596,0.87129,0.87603,0.9056,0.70984,0.83205,0.77858,1.23658,0.000378053,0.000378053,0.000378053
61,10431.3,0.62461,0.58558,1.07734,0.88956,0.84233,0.89919,0.69083,0.8543,0.78592,1.27513,0.000369054,0.000369054,0.000369054
62,10617.5,0.58806,0.58105,1.04702,0.93807,0.79027,0.87311,0.67974,0.86647,0.85286,1.29459,0.000360055,0.000360055,0.000360055
63,10796.9,0.59383,0.57687,1.05254,0.84739,0.84734,0.87997,0.6751,0.87174,0.84141,1.27639,0.000351056,0.000351056,0.000351056
64,10972.6,0.56728,0.56898,1.04463,0.9076,0.80019,0.88446,0.69349,0.84817,0.80546,1.2483,0.000342057,0.000342057,0.000342057
65,11141.8,0.58258,0.58756,1.05644,0.91476,0.83345,0.90237,0.70278,0.86059,0.78693,1.2641,0.000333058,0.000333058,0.000333058
66,11310.6,0.55621,0.56998,1.0502,0.89091,0.81674,0.89782,0.70111,0.87669,0.78156,1.27502,0.000324058,0.000324058,0.000324058
67,11487.6,0.56235,0.55109,1.03799,0.87397,0.8297,0.90293,0.71627,0.81704,0.78314,1.22592,0.000315059,0.000315059,0.000315059
68,11654.6,0.58136,0.57546,1.06231,0.81955,0.84034,0.88545,0.69145,0.84623,0.84825,1.24833,0.00030606,0.00030606,0.00030606
69,11831.4,0.54724,0.5499,1.04165,0.94974,0.78459,0.90459,0.71336,0.80506,0.79167,1.21479,0.000297061,0.000297061,0.000297061
70,12005.1,0.54077,0.53355,1.03407,0.92813,0.82943,0.9124,0.70125,0.84207,0.74747,1.23712,0.000288062,0.000288062,0.000288062
71,12183.4,0.53883,0.52879,1.02613,0.94068,0.83256,0.91479,0.71818,0.82617,0.74558,1.22313,0.000279063,0.000279063,0.000279063
72,12384.8,0.54946,0.52746,1.03797,0.95898,0.78645,0.90791,0.70492,0.86846,0.74799,1.25964,0.000270064,0.000270064,0.000270064
73,12565.8,0.53113,0.52442,1.01588,0.89394,0.82554,0.89867,0.71185,0.83489,0.76189,1.22621,0.000261065,0.000261065,0.000261065
74,12753.7,0.53702,0.50758,1.03074,0.88015,0.81773,0.89826,0.69412,0.86558,0.80078,1.2493,0.000252066,0.000252066,0.000252066
75,12951.5,0.52383,0.51038,1.01859,0.92908,0.80332,0.89023,0.70695,0.81278,0.76146,1.23618,0.000243067,0.000243067,0.000243067
76,13132.3,0.50892,0.47903,0.99969,0.93798,0.83418,0.90995,0.7175,0.80917,0.72042,1.21492,0.000234068,0.000234068,0.000234068
77,13316.2,0.52251,0.51432,1.02112,0.91731,0.81437,0.89652,0.70705,0.84394,0.75979,1.25214,0.000225068,0.000225068,0.000225068
78,13500.4,0.51293,0.49315,1.02118,0.86954,0.8615,0.9035,0.70577,0.80924,0.73491,1.23483,0.000216069,0.000216069,0.000216069
79,13676.4,0.53088,0.50498,1.03936,0.90463,0.78781,0.8956,0.70443,0.83678,0.75547,1.25382,0.00020707,0.00020707,0.00020707
80,13849.7,0.5065,0.48263,1.01003,0.92599,0.79229,0.90316,0.71662,0.78627,0.72972,1.19461,0.000198071,0.000198071,0.000198071
81,14014.4,0.50213,0.47776,1.00671,0.96793,0.79327,0.91681,0.71138,0.82246,0.74027,1.22206,0.000189072,0.000189072,0.000189072
82,14199.8,0.49107,0.48159,1.01791,0.8804,0.83986,0.89721,0.71492,0.79948,0.7661,1.21376,0.000180073,0.000180073,0.000180073
83,14371.5,0.51294,0.47704,1.01788,0.8946,0.82428,0.89336,0.70677,0.83185,0.76532,1.24594,0.000171074,0.000171074,0.000171074
84,14542.2,0.4993,0.48097,1.00684,0.90278,0.83649,0.91271,0.71202,0.82434,0.75223,1.22684,0.000162075,0.000162075,0.000162075
85,14704.1,0.48246,0.47316,0.99488,0.87437,0.82822,0.90081,0.70974,0.82619,0.75858,1.23955,0.000153076,0.000153076,0.000153076
86,14870.8,0.48902,0.49419,1.00146,0.88848,0.81074,0.89795,0.71576,0.80861,0.76684,1.22236,0.000144077,0.000144077,0.000144077
